Price ($),Description,Location,Bedrooms,Bathrooms,Unit Type,Parking,Size (sqft),Website
2900.00,Condo Pompano Beach/ Pam Aire,"Duvernay, Laval / North Shore•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/laval-rive-nord/condo-pompano-beach-pam-aire/1741337014
1190.00,Grand 4½ au troisième étage/Spacious 4½ third floor,"Sauvé Park, Montréal•",2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-troisieme-etage-spacious-4-third-floor/1742321161
Please Contact,CONDO 2 CHAMBRES • 2 SALLES DE BAIN – AHUNTSIC,"Saint Benoît Park, City of Montréal•",2.5,2,Condo,1,100,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-2-chambres-2-salles-de-bain-ahuntsic/1742321136
1300.00,"NDG, beau, tres grand 3 ½ Metro Snowdon, Villa Maria, Septembre","Notre-Dame-de-Grâce, Montréal•",1.5,1,Apartment,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/ndg-beau-tres-grand-3-metro-snowdon-villa-maria-septembre/1742321005
1095.00,Studio rénové 2 1/2 - En face du métro Du Collège Apartment for ,Montréal•,0,1,Apartment,0,482,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/studio-renove-2-1-2-en-face-du-metro-du-college-apartment-for/1740744872
1900.00,4.5 Condo appartement à louer-Ahuntsic-Cartierville-Aldea,Montreal•,2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-5-condo-appartement-a-louer-ahuntsic-cartierville-aldea/1741889213
1195.00,"3 1/2, 1,chambres,bedrooms, a louer, Cartierville, métro Sauvé",City of Montréal•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-1-chambres-bedrooms-a-louer-cartierville-metro-sauve/1740304046
1150.00,STUDIO PLATEAU MONT-ROYAL PROCHE DE TOUT,"Saint-Louis, Le Plateau-Mont-Royal•",0,1,Apartment,0,250,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/studio-plateau-mont-royal-proche-de-tout/1730317107
1645.00,3-1/2 APPARTEMENT DE LUXE,Côte-Saint-Luc•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-appartement-de-luxe/1727002717
1275.00,"Fraichement rénové 4 1/2 à louer, près du Parc Du Tremblay","Chomedey, Laval•",2,1,Apartment,0,600,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/fraichement-renove-4-1-2-a-louer-pres-du-parc-du-tremblay/1739633002
